Zone,NE Catchment 2,SW Catchment 4,SW Catchment 2,NE Catchment 3,SW Catchment 5,SW Catchment 7,Upper Lake,Lower Lake,Lower Middle Lake,Upper Middle Lake,NW Catchment,Outlet Catchment,SW Catchment 6,NE Catchment 4,SW Catchment 3,SW Catchment 1,NE Catchment 1
183600-184500,29,4,5,11,19,0,2,0,0,0,18,6,22,6,29,4,12
184500-184600,19,6,9,9,20,2,1,1,0,1,21,7,37,11,31,7,19
184600-184900,22,1,0,6,12,0,0,0,1,0,10,1,20,8,21,3,12
184900-185300,46,15,10,20,41,1,1,0,1,1,46,13,85,30,67,20,32
185300-185500,18,4,2,6,9,1,0,0,0,0,11,6,25,9,23,7,15
185500-185800,53,16,7,29,35,0,0,0,0,0,59,11,74,27,57,20,36
185800-186300,7,5,2,10,13,0,0,0,0,0,16,3,30,11,25,3,14
186300-187100,19,9,2,14,9,2,0,0,0,0,13,6,26,12,15,5,11
187100-187200,27,7,3,13,25,5,0,1,0,0,28,5,51,13,38,7,16
187200-187900,19,9,2,9,7,1,0,0,0,0,22,3,20,7,16,5,9
187900-188000,7,5,1,5,12,1,0,0,0,0,19,4,24,6,23,6,9
188000-188400,16,5,3,5,6,0,1,0,0,0,16,6,22,8,23,5,6
188400-188800,20,5,3,10,9,0,0,0,0,0,16,4,15,5,17,2,6
188800-189000,16,5,6,9,11,0,0,1,0,0,9,4,16,7,20,6,8
189000-189200,9,6,5,5,3,0,0,0,0,0,9,0,6,5,8,4,4
189200-189800,32,10,8,13,14,2,0,0,1,0,29,6,43,6,32,15,20
189800-190700,19,5,7,11,33,2,1,2,0,0,29,8,39,17,45,11,31
190700-190900,17,4,3,9,11,1,1,0,0,1,14,2,19,9,18,3,6
190900-191000,13,8,5,5,18,1,0,1,0,0,23,3,27,13,30,10,10
191000-191300,20,10,4,13,28,2,1,0,0,0,17,7,38,15,32,8,14
191300-191400,15,3,4,9,7,0,0,0,0,0,18,0,21,3,20,2,8
191400-191800,20,6,5,10,20,0,0,0,0,1,20,2,39,12,36,9,19
191800-192300,19,5,1,7,9,0,0,1,0,0,8,3,27,4,11,2,5
192300-192600,8,3,2,3,9,0,0,0,0,0,6,3,16,7,12,5,10
192600-193200,10,7,0,8,10,2,0,0,1,0,16,3,16,6,10,1,9
193200-193500,12,6,0,8,13,1,0,0,0,0,5,5,18,8,14,5,12
193500-193800,38,14,9,17,28,7,0,0,0,0,31,5,45,23,34,17,31
193800-193900,20,5,3,3,6,2,0,0,0,1,4,4,17,5,18,3,11
193900-194200,5,4,4,2,13,1,0,1,0,0,15,3,23,4,13,6,12
194200-194700,13,2,4,5,11,0,0,0,0,0,6,0,20,9,22,7,5
194700-194800,11,2,1,5,7,0,0,0,0,0,13,3,17,5,16,0,9
194800-195200,7,1,7,8,13,0,0,2,0,1,9,2,20,9,20,3,6
195200-196000,10,4,1,5,12,0,0,0,0,0,7,5,14,11,13,3,9
196000-196400,22,9,6,10,25,4,0,1,0,0,22,5,44,14,33,10,18
196400-196500,10,5,0,6,6,1,0,1,0,0,10,2,17,5,16,6,13
